12, 4, 5
12, 4, 6
12, 4, 7
12, 4, 8
13, 4, 5
13, 4, 6
13, 4, 7
13, 4, 8
14, 4, 5
14, 4, 6
14, 4, 7
14, 4, 8
15, 4, 5
15, 4, 6
15, 4, 7
15, 4, 8


8, 0, 0
8, 1, 0
8, 2, 0
8, 3, 0
9, 0, 0
9, 1, 0
9, 2, 0
9, 3, 0
10, 0, 0
10, 1, 0
10, 2, 0
10, 3, 0
11, 0, 0
11, 1, 0
11, 2, 0
11, 3, 0


7, 0, 1
7, 0, 2
7, 0, 3
7, 0, 4
7, 1, 1
7, 1, 2
7, 1, 3
7, 1, 4
7, 2, 1
7, 2, 2
7, 2, 3
7, 2, 4
7, 3, 1
7, 3, 2
7, 3, 3
7, 3, 4


8, 4, 1
8, 4, 2
8, 4, 3
8, 4, 4
9, 4, 1
9, 4, 2
9, 4, 3
9, 4, 4
10, 4, 1
10, 4, 2
10, 4, 3
10, 4, 4
11, 4, 1
11, 4, 2
11, 4, 3
11, 4, 4


8, 4, 5
8, 4, 6
8, 4, 7
8, 4, 8
9, 4, 5
9, 4, 6
9, 4, 7
9, 4, 8
10, 4, 5
10, 4, 6
10, 4, 7
10, 4, 8
11, 4, 5
11, 4, 6
11, 4, 7
11, 4, 8


7, -4, 1
7, -4, 2
7, -4, 3
7, -4, 4
7, -3, 1
7, -3, 2
7, -3, 3
7, -3, 4
7, -2, 1
7, -2, 2
7, -2, 3
7, -2, 4
7, -1, 1
7, -1, 2
7, -1, 3
7, -1, 4


0, 0, 0

